"","logFC","logCPM","F","PValue","FDR"
"CCAR2",0.849384898246185,6.24300084872467,24.6323780544232,0.000270345055121662,0.000561003807430722
"ZSCAN31",-1.40531816109947,3.18913564331364,24.5365695961051,0.000270389423224809,0.000561006188212599
"SPRY4",-1.43583748338329,4.45781827680929,24.7260533208701,0.000270566356385257,0.000561283571340999
"PORCN",2.07955383352839,2.79360775002107,24.2414685002801,0.000270943313956765,0.000561975745471207
"TTC27",1.21647657409491,4.84735514969516,24.6324287408723,0.000271078461988965,0.000562132005241355
"CD63-AS1",2.35394665378726,1.96436904291141,20.127751297403,0.000271105266010083,0.000562132005241355
"HMGB1P3",-1.78170102928375,2.9053899827234,23.3944665434999,0.000271317203290542,0.000562481600177486
"TSPAN10",-1.83206282314597,1.85909710745111,19.3863873326069,0.000271571722439637,0.000562919348014451
"LINC02605",1.48531051821808,4.04051396049421,24.6814587972933,0.000271977219738419,0.000563669856650914
"PMM2",0.909587872961324,5.12448870645163,24.5958640003046,0.000272487209096204,0.000564636649755544
"MFSD2A",1.70150749273981,3.11869342276108,24.8038091641541,0.000272648652163418,0.000564881006397632
"TRAF6",-1.04905446286063,5.13291957984077,24.6004022531604,0.000272699441409228,0.000564896065989752
"HINFP",-0.769856410687872,5.03964102553938,24.5834282365786,0.000273441294908638,0.000566342429857049
"RTKN",-1.62605167751967,5.14146121989935,24.6008139396827,0.000273508519118231,0.000566391285602208
"FZD1",-1.43826621371935,3.48001497122628,24.687773876331,0.000273871824618898,0.000567053163750725
"ARK2N",-0.750374463376538,5.72877882831219,24.5359887479411,0.000275203656688841,0.000569719850689179
"BOLA3",1.46850973683792,3.77565163762929,24.6581693591519,0.000275431081082772,0.000570099734086171
"SEC23A",1.14762854208999,5.62699375483667,24.525930620312,0.000275650381260869,0.000570462683157857
"C5orf15",1.00469394487498,5.67467699877338,24.5132416928904,0.000276237669842545,0.000571586952742904
"RPS14",1.20713021866941,9.34561988817765,24.5065967343766,0.000276297304547522,0.000571619224263124
"DLG1",-0.762112428460011,6.92176311740581,24.5052513945848,0.000276455666870614,0.000571855706132362
"STAP1",2.07202739813712,4.82841891565245,24.5395074817807,0.000276619612738698,0.000572103660508014
"PIK3CG",0.915678229226057,4.9535006565919,24.5076700631342,0.000276919299668123,0.000572632230315793
"VSTM4",-2.35530664253815,3.43914243693072,23.6730020590441,0.000276968678211454,0.000572643109777743
"RPL9",1.54120367049426,9.70613937755107,24.4871728040048,0.000277251605835026,0.000573136780337416
"TRAF2",-1.19823228696893,5.59007305683111,24.4935639816146,0.00027751210216838,0.00057354992685773
"PIK3R1",1.14616839266798,6.38165737213822,24.4838348014501,0.000277539837487935,0.00057354992685773
"GSDMB",1.17807201137725,4.55802688196349,24.4869934924659,0.000278614399511069,0.000575678908891066
"RUNX2",-2.05596827669521,2.27724021574631,20.0778376524826,0.00028036931592622,0.000579159624556961
"PARP12",1.25919314476154,4.89974174880465,24.4409875810397,0.000280388218853308,0.000579159624556961
"LINC00471",-1.60509782295251,2.23615592217587,20.9021003884003,0.000280441403520656,0.000579177313874004
